"hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"split",2.5,10.259765625,0.533984375,"max",238.0078125,"outdoors",3495,39.2803881286954
"split",2.5,10.697265625,0.483203125,"max",159.2578125,"outdoors",3495,38.6683621639927
"split",2.5,10.697265625,0.483203125,"max",90.3515625,"adiabatic",3495,38.593690576415
"split",2.5,10.697265625,0.483203125,"max",90.3515625,"outdoors",3495,38.593690576415
"split",2.5,10.697265625,0.483203125,"min",90.3515625,"outdoors",3495,39.0805013537788
"split",2.5,10.697265625,0.596484375,"max",90.3515625,"outdoors",3495,38.8734373995844
"split",2.5,10.970703125,0.570703125,"min",326.6015625,"adiabatic",3495,39.6589363127135
"split",2.5,12.009765625,0.420703125,"min",103.0078125,"adiabatic",3495,39.5062294750539
"split",2.5,12.009765625,0.420703125,"min",281.6015625,"adiabatic",3495,40.0737253262039
"split",2.5,12.009765625,0.420703125,"min",281.6015625,"outdoors",3495,40.0737253262039
"split",2.5,12.009765625,0.683984375,"min",103.0078125,"outdoors",3495,40.8244176117196
"split",2.5,12.009765625,0.683984375,"min",281.6015625,"adiabatic",3495,41.5922685082522
"split",2.5,12.283203125,0.696484375,"min",249.2578125,"outdoors",3495,42.5902756039527
"split",2.5,13.158203125,0.308203125,"min",22.8515625,"outdoors",3495,39.0053296863556
"split",2.5,13.158203125,0.321484375,"min",181.7578125,"outdoors",3495,40.7690392772805
"split",2.5,14.197265625,0.383203125,"min",180.3515625,"outdoors",3495,41.7128756794454
"split",2.5,15.072265625,0.658203125,"min",316.7578125,"outdoors",3495,42.277981773389
"split",2.5,15.072265625,0.658203125,"min",67.8515625,"adiabatic",3495,41.652515808037
"split",2.5,15.072265625,0.658203125,"min",67.8515625,"outdoors",3495,41.652515808037
"split",2.5,15.072265625,0.671484375,"min",67.8515625,"outdoors",3495,41.7018843066742
"split",2.5,15.783203125,0.483203125,"max",90.3515625,"outdoors",3495,39.546858852309
"split",2.5,15.783203125,0.596484375,"min",159.2578125,"adiabatic",3495,43.705684466997
"split",2.5,17.259765625,0.333984375,"min",326.6015625,"adiabatic",3495,41.7081412142749
"split",2.5,17.259765625,0.570703125,"min",326.6015625,"adiabatic",3495,42.916993393456
"split",2.5,17.259765625,0.570703125,"min",58.0078125,"adiabatic",3495,42.3216781265425
"split",2.5,17.970703125,0.370703125,"max",238.0078125,"outdoors",3495,40.7010297184171
"split",2.5,17.970703125,0.533984375,"max",146.6015625,"outdoors",3495,40.8441632278182
"split",2.5,17.970703125,0.533984375,"max",238.0078125,"outdoors",3495,41.6132526018563
"split",2.5,18.408203125,0.658203125,"min",67.8515625,"outdoors",3495,43.4295101438543
"split",2.5,18.408203125,0.671484375,"min",316.7578125,"adiabatic",3495,44.253781091041
"split",2.5,19.283203125,0.496484375,"max",69.2578125,"adiabatic",3495,40.3838897431714
"split",2.5,19.447265625,0.446484375,"max",135.3515625,"outdoors",3495,40.7811762042354
"split",2.5,19.447265625,0.533203125,"max",135.3515625,"outdoors",3495,41.2492610332491
"split",2.5,19.447265625,0.533203125,"max",24.2578125,"outdoors",3495,40.3015311430844
"split",2.5,19.447265625,0.533203125,"min",135.3515625,"outdoors",3495,44.7577266469287
"split",2.5,19.720703125,0.420703125,"min",103.0078125,"outdoors",3495,43.5089394143778
"split",2.5,19.720703125,0.420703125,"min",281.6015625,"adiabatic",3495,44.3329578455433
"split",2.5,19.720703125,0.683984375,"min",103.0078125,"adiabatic",3495,44.9389710685678
"split",2.5,19.720703125,0.683984375,"min",103.0078125,"outdoors",3495,44.9389710685678
"split",2.5,19.720703125,0.683984375,"min",281.6015625,"outdoors",3495,45.954419837913
"split",2.5,20.759765625,0.633984375,"max",148.0078125,"adiabatic",3495,42.3894613251447
"split",2.5,20.759765625,0.670703125,"max",56.6015625,"adiabatic",3495,41.3443151579964
"split",2.5,21.033203125,0.446484375,"min",24.2578125,"outdoors",3495,43.7036816856005
"split",2.5,21.033203125,0.533203125,"max",135.3515625,"outdoors",3495,41.8513234910428
"split",2.5,21.197265625,0.583203125,"max",0.3515625,"adiabatic",3495,41.1196894734729
