"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries","ghr","outputs"
"h_split_e_2.5_l_10.26_s_0.53_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,10.259765625,0.533984375,"max",238.0078125,"outdoors",3495,39.2803881286954
"h_split_e_2.5_l_10.7_s_0.48_v_max_a_159.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,10.697265625,0.483203125,"max",159.2578125,"outdoors",3495,38.6683621639927
"h_split_e_2.5_l_10.7_s_0.48_v_max_a_90.35_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,10.697265625,0.483203125,"max",90.3515625,"adiabatic",3495,38.593690576415
"h_split_e_2.5_l_10.7_s_0.48_v_max_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,10.697265625,0.483203125,"max",90.3515625,"outdoors",3495,38.593690576415
"h_split_e_2.5_l_10.7_s_0.48_v_min_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,10.697265625,0.483203125,"min",90.3515625,"outdoors",3495,39.0805013537788
"h_split_e_2.5_l_10.7_s_0.6_v_max_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,10.697265625,0.596484375,"max",90.3515625,"outdoors",3495,38.8734373995844
"h_split_e_2.5_l_10.97_s_0.57_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,10.970703125,0.570703125,"min",326.6015625,"adiabatic",3495,39.6589363127135
"h_split_e_2.5_l_12.01_s_0.42_v_min_a_103.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,12.009765625,0.420703125,"min",103.0078125,"adiabatic",3495,39.5062294750539
"h_split_e_2.5_l_12.01_s_0.42_v_min_a_281.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,12.009765625,0.420703125,"min",281.6015625,"adiabatic",3495,40.0737253262039
"h_split_e_2.5_l_12.01_s_0.42_v_min_a_281.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,12.009765625,0.420703125,"min",281.6015625,"outdoors",3495,40.0737253262039
"h_split_e_2.5_l_12.01_s_0.68_v_min_a_103.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,12.009765625,0.683984375,"min",103.0078125,"outdoors",3495,40.8244176117196
"h_split_e_2.5_l_12.01_s_0.68_v_min_a_281.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,12.009765625,0.683984375,"min",281.6015625,"adiabatic",3495,41.5922685082522
"h_split_e_2.5_l_12.28_s_0.7_v_min_a_249.26_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,12.283203125,0.696484375,"min",249.2578125,"outdoors",3495,42.5902756039527
"h_split_e_2.5_l_13.16_s_0.31_v_min_a_22.85_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,13.158203125,0.308203125,"min",22.8515625,"outdoors",3495,39.0053296863556
"h_split_e_2.5_l_13.16_s_0.32_v_min_a_181.76_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,13.158203125,0.321484375,"min",181.7578125,"outdoors",3495,40.7690392772805
"h_split_e_2.5_l_14.2_s_0.38_v_min_a_180.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,14.197265625,0.383203125,"min",180.3515625,"outdoors",3495,41.7128756794454
"h_split_e_2.5_l_15.07_s_0.66_v_min_a_316.76_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,15.072265625,0.658203125,"min",316.7578125,"outdoors",3495,42.277981773389
"h_split_e_2.5_l_15.07_s_0.66_v_min_a_67.85_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,15.072265625,0.658203125,"min",67.8515625,"adiabatic",3495,41.652515808037
"h_split_e_2.5_l_15.07_s_0.66_v_min_a_67.85_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,15.072265625,0.658203125,"min",67.8515625,"outdoors",3495,41.652515808037
"h_split_e_2.5_l_15.07_s_0.67_v_min_a_67.85_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,15.072265625,0.671484375,"min",67.8515625,"outdoors",3495,41.7018843066742
"h_split_e_2.5_l_15.78_s_0.48_v_max_a_90.35_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,15.783203125,0.483203125,"max",90.3515625,"outdoors",3495,39.546858852309
"h_split_e_2.5_l_15.78_s_0.6_v_min_a_159.26_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,15.783203125,0.596484375,"min",159.2578125,"adiabatic",3495,43.705684466997
"h_split_e_2.5_l_17.26_s_0.33_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,17.259765625,0.333984375,"min",326.6015625,"adiabatic",3495,41.7081412142749
"h_split_e_2.5_l_17.26_s_0.57_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,17.259765625,0.570703125,"min",326.6015625,"adiabatic",3495,42.916993393456
"h_split_e_2.5_l_17.26_s_0.57_v_min_a_58.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,17.259765625,0.570703125,"min",58.0078125,"adiabatic",3495,42.3216781265425
"h_split_e_2.5_l_17.97_s_0.37_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,17.970703125,0.370703125,"max",238.0078125,"outdoors",3495,40.7010297184171
"h_split_e_2.5_l_17.97_s_0.53_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split",2.5,17.970703125,0.533984375,"max",146.6015625,"outdoors",3495,40.8441632278182
