"case","seed","hvac","envelope","lights","shgc","afn","azimuth","boundaries"
"h_split_e_2.5_l_17.26_s_0.57_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",17.259765625,0.570703125,"min",326.6015625,"adiabatic"
"h_vrf_e_2.5_l_17.26_s_0.57_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",17.259765625,0.570703125,"min",326.6015625,"adiabatic"
"h_split_e_3.7_l_17.26_s_0.57_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",17.259765625,0.570703125,"min",326.6015625,"adiabatic"
"h_split_e_2.5_l_10.97_s_0.57_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",10.970703125,0.570703125,"min",326.6015625,"adiabatic"
"h_split_e_2.5_l_17.26_s_0.33_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",17.259765625,0.333984375,"min",326.6015625,"adiabatic"
"h_split_e_2.5_l_17.26_s_0.57_v_min_a_58.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",17.259765625,0.570703125,"min",58.0078125,"adiabatic"
"h_split_e_3.7_l_10.97_s_0.33_v_min_a_58.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",10.970703125,0.333984375,"min",58.0078125,"adiabatic"
"h_vrf_e_2.5_l_10.97_s_0.33_v_min_a_58.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",10.970703125,0.333984375,"min",58.0078125,"adiabatic"
"h_vrf_e_3.7_l_17.26_s_0.33_v_min_a_58.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",17.259765625,0.333984375,"min",58.0078125,"adiabatic"
"h_vrf_e_3.7_l_10.97_s_0.57_v_min_a_58.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",10.970703125,0.570703125,"min",58.0078125,"adiabatic"
"h_vrf_e_3.7_l_10.97_s_0.33_v_min_a_58.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",10.970703125,0.333984375,"min",58.0078125,"adiabatic"
"h_vrf_e_3.7_l_10.97_s_0.33_v_min_a_326.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",10.970703125,0.333984375,"min",326.6015625,"adiabatic"
"h_vrf_e_3.7_l_10.26_s_0.37_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",10.259765625,0.370703125,"max",146.6015625,"outdoors"
"h_split_e_3.7_l_10.26_s_0.37_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",10.259765625,0.370703125,"max",146.6015625,"outdoors"
"h_vrf_e_2.5_l_10.26_s_0.37_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",10.259765625,0.370703125,"max",146.6015625,"outdoors"
"h_vrf_e_3.7_l_17.97_s_0.37_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",17.970703125,0.370703125,"max",146.6015625,"outdoors"
"h_vrf_e_3.7_l_10.26_s_0.53_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",10.259765625,0.533984375,"max",146.6015625,"outdoors"
"h_vrf_e_3.7_l_10.26_s_0.37_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",10.259765625,0.370703125,"max",238.0078125,"outdoors"
"h_vrf_e_2.5_l_17.97_s_0.53_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",17.970703125,0.533984375,"max",238.0078125,"outdoors"
"h_split_e_3.7_l_17.97_s_0.53_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",17.970703125,0.533984375,"max",238.0078125,"outdoors"
"h_split_e_2.5_l_10.26_s_0.53_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",10.259765625,0.533984375,"max",238.0078125,"outdoors"
"h_split_e_2.5_l_17.97_s_0.37_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",17.970703125,0.370703125,"max",238.0078125,"outdoors"
"h_split_e_2.5_l_17.97_s_0.53_v_max_a_238.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",17.970703125,0.533984375,"max",238.0078125,"outdoors"
"h_split_e_2.5_l_17.97_s_0.53_v_max_a_146.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",17.970703125,0.533984375,"max",146.6015625,"outdoors"
"h_vrf_e_2.5_l_20.76_s_0.67_v_max_a_56.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",20.759765625,0.670703125,"max",56.6015625,"adiabatic"
"h_split_e_2.5_l_20.76_s_0.67_v_max_a_56.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",20.759765625,0.670703125,"max",56.6015625,"adiabatic"
"h_vrf_e_2.5_l_21.47_s_0.67_v_max_a_56.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",21.470703125,0.670703125,"max",56.6015625,"adiabatic"
"h_vrf_e_2.5_l_20.76_s_0.63_v_max_a_56.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",20.759765625,0.633984375,"max",56.6015625,"adiabatic"
"h_vrf_e_2.5_l_20.76_s_0.67_v_max_a_148.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",20.759765625,0.670703125,"max",148.0078125,"adiabatic"
"h_vrf_e_2.5_l_21.47_s_0.63_v_max_a_148.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","2.5",21.470703125,0.633984375,"max",148.0078125,"adiabatic"
"h_split_e_2.5_l_21.47_s_0.63_v_max_a_148.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",21.470703125,0.633984375,"max",148.0078125,"adiabatic"
"h_split_e_2.5_l_20.76_s_0.63_v_max_a_148.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",20.759765625,0.633984375,"max",148.0078125,"adiabatic"
"h_split_e_2.5_l_21.47_s_0.67_v_max_a_148.01_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",21.470703125,0.670703125,"max",148.0078125,"adiabatic"
"h_split_e_2.5_l_21.47_s_0.63_v_max_a_56.6_b_adiabatic","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","2.5",21.470703125,0.633984375,"max",56.6015625,"adiabatic"
"h_split_e_3.7_l_13.76_s_0.47_v_min_a_236.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",13.759765625,0.470703125,"min",236.6015625,"outdoors"
"h_vrf_e_3.7_l_13.76_s_0.47_v_min_a_236.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_vrf_bank.epJSON","vrf","3.7",13.759765625,0.470703125,"min",236.6015625,"outdoors"
"h_split_e_3.7_l_14.47_s_0.47_v_min_a_236.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",14.470703125,0.470703125,"min",236.6015625,"outdoors"
"h_split_e_3.7_l_13.76_s_0.43_v_min_a_236.6_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",13.759765625,0.433984375,"min",236.6015625,"outdoors"
"h_split_e_3.7_l_13.76_s_0.47_v_min_a_328.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",13.759765625,0.470703125,"min",328.0078125,"outdoors"
"h_split_e_3.7_l_14.47_s_0.43_v_min_a_328.01_b_outdoors","/home/rodox/00.git/02.commercial_model/01.seed/seed_split_bank.epJSON","split","3.7",14.470703125,0.433984375,"min",328.0078125,"outdoors"
