"case","seed","epw","afn","area","atm","azimuth","boundaries","cdh","envelope","hvac","lights","shgc"
"afn_max_area_77_atm_10_azi_243.99_bounds_outdoors_cdh_109_env_heavy_hvac_vrf_lights_17.01_shgc_0.28","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SP_Bauru.837220_INMET","max",580,10,243.99,"outdoors",23281,"heavy","vrf",17.01,0.28
"afn_max_area_203_atm_10_azi_243.99_bounds_outdoors_cdh_109_env_heavy_hvac_vrf_lights_17.01_shgc_0.28","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SP_Bauru.837220_INMET","max",234,10,243.99,"outdoors",23281,"heavy","vrf",17.01,0.28
"afn_max_area_77_atm_6_azi_243.99_bounds_outdoors_cdh_109_env_heavy_hvac_vrf_lights_17.01_shgc_0.28","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SP_Bauru.837220_INMET","max",580,6,243.99,"outdoors",23281,"heavy","vrf",17.01,0.28
"afn_max_area_77_atm_10_azi_137.93_bounds_outdoors_cdh_109_env_heavy_hvac_vrf_lights_17.01_shgc_0.28","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SP_Bauru.837220_INMET","max",580,10,137.93,"outdoors",23281,"heavy","vrf",17.01,0.28
"afn_max_area_77_atm_10_azi_243.99_bounds_outdoors_cdh_45_env_heavy_hvac_vrf_lights_17.01_shgc_0.28","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MS_Dourados.836590_INMET","max",580,10,243.99,"outdoors",32237,"heavy","vrf",17.01,0.28
"afn_max_area_77_atm_10_azi_243.99_bounds_outdoors_cdh_109_env_heavy_hvac_vrf_lights_24.37_shgc_0.28","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SP_Bauru.837220_INMET","max",580,10,243.99,"outdoors",23281,"heavy","vrf",24.37,0.28
"afn_max_area_77_atm_10_azi_243.99_bounds_outdoors_cdh_109_env_heavy_hvac_vrf_lights_17.01_shgc_0.61","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_SP_Bauru.837220_INMET","max",580,10,243.99,"outdoors",23281,"heavy","vrf",17.01,0.61
"afn_max_area_203_atm_6_azi_137.93_bounds_outdoors_cdh_45_env_heavy_hvac_vrf_lights_24.37_shgc_0.61","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MS_Dourados.836590_INMET","max",234,6,137.93,"outdoors",32237,"heavy","vrf",24.37,0.61
"afn_max_area_77_atm_6_azi_137.93_bounds_outdoors_cdh_45_env_heavy_hvac_vrf_lights_24.37_shgc_0.61","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MS_Dourados.836590_INMET","max",580,6,137.93,"outdoors",32237,"heavy","vrf",24.37,0.61
"afn_max_area_203_atm_10_azi_137.93_bounds_outdoors_cdh_45_env_heavy_hvac_vrf_lights_24.37_shgc_0.61","~/git/commercial_model/seed/seed_vrf_bank.epJSON","BRA_MS_Dourados.836590_INMET","max",234,10,137.93,"outdoors",32237,"heavy","vrf",24.37,0.61
