hvac,envelope,lights,shgc,afn,azimuth,boundaries,ghr,tbs,tbu,targ
vrf,2.5,9.9,0.3,max,0,adiabatic,3495,15.31,11.66,55.6139666666667
vrf,2.5,23.6,0.3,max,180,outdoors,3495,15.31,11.66,103.57655
vrf,2.5,23.6,0.3,min,180,outdoors,3495,15.31,11.66,107.1794
vrf,2.5,23.6,0.3,max,270,outdoors,3495,15.31,11.66,103.4175
vrf,2.5,23.6,0.3,min,270,outdoors,3495,15.31,11.66,106.9568
vrf,2.5,23.6,0.7,max,0,outdoors,3495,15.31,11.66,103.5354
vrf,2.5,23.6,0.7,min,0,outdoors,3495,15.31,11.66,107.0483
vrf,2.5,23.6,0.7,max,90,outdoors,3495,15.31,11.66,104.349283333333
vrf,2.5,23.6,0.7,min,90,outdoors,3495,15.31,11.66,107.758666666667
vrf,2.5,23.6,0.7,max,180,outdoors,3495,15.31,11.66,105.347483333333
vrf,2.5,23.6,0.7,min,180,outdoors,3495,15.31,11.66,108.7444
vrf,2.5,9.9,0.7,max,90,adiabatic,3495,15.31,11.66,56.1543833333333
vrf,2.5,23.6,0.7,max,270,outdoors,3495,15.31,11.66,105.06605
vrf,2.5,23.6,0.7,min,270,outdoors,3495,15.31,11.66,108.44095
vrf,3.7,23.6,0.3,max,0,outdoors,3495,15.31,11.66,102.89635
vrf,3.7,23.6,0.3,min,0,outdoors,3495,15.31,11.66,106.437016666667
vrf,3.7,23.6,0.3,max,90,outdoors,3495,15.31,11.66,103.309066666667
vrf,3.7,23.6,0.3,min,90,outdoors,3495,15.31,11.66,106.829966666667
vrf,3.7,23.6,0.3,max,180,outdoors,3495,15.31,11.66,103.777083333333
vrf,3.7,23.6,0.3,min,180,outdoors,3495,15.31,11.66,107.357516666667
vrf,3.7,23.6,0.3,max,270,outdoors,3495,15.31,11.66,103.63825
vrf,3.7,23.6,0.3,min,270,outdoors,3495,15.31,11.66,107.205916666667
vrf,2.5,9.9,0.7,min,90,adiabatic,3495,15.31,11.66,56.99375
vrf,3.7,23.6,0.7,max,0,outdoors,3495,15.31,11.66,103.997683333333
vrf,3.7,23.6,0.7,min,0,outdoors,3495,15.31,11.66,107.498383333333
vrf,3.7,23.6,0.7,max,90,outdoors,3495,15.31,11.66,104.72545
vrf,3.7,23.6,0.7,min,90,outdoors,3495,15.31,11.66,108.104466666667
vrf,3.7,23.6,0.7,max,180,outdoors,3495,15.31,11.66,105.60405
vrf,3.7,23.6,0.7,min,180,outdoors,3495,15.31,11.66,108.919766666667
vrf,3.7,23.6,0.7,max,270,outdoors,3495,15.31,11.66,105.3472
vrf,3.7,23.6,0.7,min,270,outdoors,3495,15.31,11.66,108.717383333333
vrf,2.5,9.9,0.7,max,180,adiabatic,3495,15.31,11.66,56.2899833333333
vrf,2.5,9.9,0.7,min,180,adiabatic,3495,15.31,11.66,57.35925
vrf,2.5,9.9,0.7,max,270,adiabatic,3495,15.31,11.66,56.0605
vrf,2.5,9.9,0.7,min,270,adiabatic,3495,15.31,11.66,57.0282
vrf,3.7,9.9,0.3,max,0,adiabatic,3495,15.31,11.66,52.80595
vrf,3.7,9.9,0.3,min,0,adiabatic,3495,15.31,11.66,53.4104333333333
vrf,3.7,9.9,0.3,max,90,adiabatic,3495,15.31,11.66,52.9457333333333
vrf,3.7,9.9,0.3,min,90,adiabatic,3495,15.31,11.66,53.6280833333333
vrf,2.5,9.9,0.3,min,0,adiabatic,3495,15.31,11.66,56.1972833333333
vrf,3.7,9.9,0.3,max,180,adiabatic,3495,15.31,11.66,52.9159333333334
vrf,3.7,9.9,0.3,min,180,adiabatic,3495,15.31,11.66,53.7604666666667
vrf,3.7,9.9,0.3,max,270,adiabatic,3495,15.31,11.66,52.8656
vrf,3.7,9.9,0.3,min,270,adiabatic,3495,15.31,11.66,53.6175833333333
vrf,3.7,9.9,0.7,max,0,adiabatic,3495,15.31,11.66,53.1615666666667
vrf,3.7,9.9,0.7,min,0,adiabatic,3495,15.31,11.66,54.1257333333333
vrf,3.7,9.9,0.7,max,90,adiabatic,3495,15.31,11.66,53.4589333333334
vrf,3.7,9.9,0.7,min,90,adiabatic,3495,15.31,11.66,54.5797833333333
vrf,3.7,9.9,0.7,max,180,adiabatic,3495,15.31,11.66,53.5797833333334
vrf,3.7,9.9,0.7,min,180,adiabatic,3495,15.31,11.66,55.0472333333333
vrf,2.5,9.9,0.3,max,90,adiabatic,3495,15.31,11.66,55.72915
vrf,3.7,9.9,0.7,max,270,adiabatic,3495,15.31,11.66,53.5412166666667
vrf,3.7,9.9,0.7,min,270,adiabatic,3495,15.31,11.66,54.77845
vrf,2.5,9.9,0.3,max,0,outdoors,3495,15.31,11.66,53.6837333333333
vrf,2.5,9.9,0.3,min,0,outdoors,3495,15.31,11.66,55.8189333333334
vrf,2.5,9.9,0.3,max,90,outdoors,3495,15.31,11.66,54.0940833333334
vrf,2.5,9.9,0.3,min,90,outdoors,3495,15.31,11.66,56.4519166666667
vrf,2.5,9.9,0.3,max,180,outdoors,3495,15.31,11.66,54.4206166666667
vrf,2.5,9.9,0.3,min,180,outdoors,3495,15.31,11.66,57.2092833333334
vrf,2.5,9.9,0.3,max,270,outdoors,3495,15.31,11.66,54.4366
vrf,2.5,9.9,0.3,min,270,outdoors,3495,15.31,11.66,56.9339333333334
vrf,2.5,9.9,0.3,min,90,adiabatic,3495,15.31,11.66,56.3260666666667
vrf,2.5,9.9,0.7,max,0,outdoors,3495,15.31,11.66,54.5072833333333
vrf,2.5,9.9,0.7,min,0,outdoors,3495,15.31,11.66,57.08155
vrf,2.5,9.9,0.7,max,90,outdoors,3495,15.31,11.66,55.2436333333334
vrf,2.5,9.9,0.7,min,90,outdoors,3495,15.31,11.66,58.0895
vrf,2.5,9.9,0.7,max,180,outdoors,3495,15.31,11.66,55.9846666666667
vrf,2.5,9.9,0.7,min,180,outdoors,3495,15.31,11.66,59.30215
vrf,2.5,9.9,0.7,max,270,outdoors,3495,15.31,11.66,55.9153166666667
vrf,2.5,9.9,0.7,min,270,outdoors,3495,15.31,11.66,58.8902833333334
vrf,3.7,9.9,0.3,max,0,outdoors,3495,15.31,11.66,53.89005
vrf,3.7,9.9,0.3,min,0,outdoors,3495,15.31,11.66,56.24135
vrf,2.5,9.9,0.3,max,180,adiabatic,3495,15.31,11.66,55.7283166666667
vrf,3.7,9.9,0.3,max,90,outdoors,3495,15.31,11.66,54.2476666666667
vrf,3.7,9.9,0.3,min,90,outdoors,3495,15.31,11.66,56.7703166666667
vrf,3.7,9.9,0.3,max,180,outdoors,3495,15.31,11.66,54.5125333333333
vrf,3.7,9.9,0.3,min,180,outdoors,3495,15.31,11.66,57.36655
