"hvac","afn","area","atm","azimuth","boundaries","cop","envelope","lights","shgc","dbt","targ"
1,1,719.296875,15.257421875,97.734375,2,3.083203125,2,17.01421875,0.32084375,10.83398402,194.4
1,1,719.296875,15.257421875,97.734375,2,3.083203125,2,17.01421875,0.32084375,10.83398402,194.4
1,1,719.296875,15.257421875,97.734375,2,3.083203125,2,17.01421875,0.32084375,10.83398402,194.4
1,1,579.140625,15.257421875,97.734375,2,3.083203125,2,17.01421875,0.32084375,10.83398402,203.2
1,1,719.296875,6.939453125,97.734375,2,3.083203125,2,17.01421875,0.32084375,10.83398402,198.5
1,1,719.296875,15.257421875,131.371875,2,3.083203125,2,17.01421875,0.32084375,10.83398402,195
1,1,719.296875,15.257421875,97.734375,2,3.083203125,2,17.01421875,0.32084375,10.83398402,194.4
1,1,719.296875,15.257421875,97.734375,2,4.015546875,2,17.01421875,0.32084375,10.83398402,192.2
1,1,719.296875,15.257421875,97.734375,2,3.083203125,2,17.01421875,0.32084375,10.83398402,194.4
1,1,719.296875,15.257421875,97.734375,2,3.083203125,2,20.28453125,0.32084375,10.83398402,199.4
1,1,719.296875,15.257421875,97.734375,2,3.083203125,2,17.01421875,0.50934375,10.83398402,192.3
1,1,719.296875,15.257421875,97.734375,2,3.083203125,2,17.01421875,0.32084375,20.43783105,163.6
1,1,579.140625,6.939453125,131.371875,2,4.015546875,2,20.28453125,0.50934375,20.43783105,182.9
1,1,579.140625,6.939453125,131.371875,2,4.015546875,2,20.28453125,0.50934375,20.43783105,182.9
1,1,719.296875,6.939453125,131.371875,2,4.015546875,2,20.28453125,0.50934375,20.43783105,181.2
1,1,579.140625,15.257421875,131.371875,2,4.015546875,2,20.28453125,0.50934375,20.43783105,171.9
1,1,579.140625,6.939453125,97.734375,2,4.015546875,2,20.28453125,0.50934375,20.43783105,182.9
1,1,579.140625,6.939453125,131.371875,2,4.015546875,2,20.28453125,0.50934375,20.43783105,182.9
1,1,579.140625,6.939453125,131.371875,2,3.083203125,2,20.28453125,0.50934375,20.43783105,191.1
1,1,579.140625,6.939453125,131.371875,2,4.015546875,2,20.28453125,0.50934375,20.43783105,182.9
1,1,579.140625,6.939453125,131.371875,2,4.015546875,2,17.01421875,0.50934375,20.43783105,170.6
1,1,579.140625,6.939453125,131.371875,2,4.015546875,2,20.28453125,0.32084375,20.43783105,181.9
1,1,579.140625,6.939453125,131.371875,2,4.015546875,2,20.28453125,0.50934375,10.83398402,208.6
1,1,579.140625,6.939453125,131.371875,2,4.015546875,2,20.28453125,0.50934375,20.43783105,182.9
2,3,199.296875,7.457421875,284.934375,1,4.643203125,1,9.73421875,0.52884375,21.08148402,144.7
2,3,199.296875,7.457421875,284.934375,1,4.643203125,1,9.73421875,0.52884375,21.08148402,144.7
2,3,199.296875,7.457421875,284.934375,1,4.643203125,1,9.73421875,0.52884375,21.08148402,144.7
2,3,1099.140625,7.457421875,284.934375,1,4.643203125,1,9.73421875,0.52884375,21.08148402,125.1
2,3,199.296875,14.739453125,284.934375,1,4.643203125,1,9.73421875,0.52884375,21.08148402,135.4
2,3,199.296875,7.457421875,318.571875,1,4.643203125,1,9.73421875,0.52884375,21.08148402,145.3
2,3,199.296875,7.457421875,284.934375,1,4.643203125,1,9.73421875,0.52884375,21.08148402,144.7
2,3,199.296875,7.457421875,284.934375,1,5.575546875,1,9.73421875,0.52884375,21.08148402,141.7
2,3,199.296875,7.457421875,284.934375,1,4.643203125,1,9.73421875,0.52884375,21.08148402,144.7
2,3,199.296875,7.457421875,284.934375,1,4.643203125,1,13.00453125,0.52884375,21.08148402,156.3
2,3,199.296875,7.457421875,284.934375,1,4.643203125,1,9.73421875,0.30134375,21.08148402,143.3
2,3,199.296875,7.457421875,284.934375,1,4.643203125,1,9.73421875,0.52884375,10.83398402,146.5
2,3,1099.140625,14.739453125,318.571875,1,5.575546875,1,13.00453125,0.30134375,10.83398402,122
2,3,1099.140625,14.739453125,318.571875,1,5.575546875,1,13.00453125,0.30134375,10.83398402,122
2,3,199.296875,14.739453125,318.571875,1,5.575546875,1,13.00453125,0.30134375,10.83398402,145.4
2,3,1099.140625,7.457421875,318.571875,1,5.575546875,1,13.00453125,0.30134375,10.83398402,130.1
2,3,1099.140625,14.739453125,284.934375,1,5.575546875,1,13.00453125,0.30134375,10.83398402,122.1
