"hvac","afn","area","atm","azimuth","boundaries","cop","envelope","lights","shgc","dbt","targ"
"split","smart",719.296875,15.257421875,97.734375,"outdoors",3.083203125,"light",17.01421875,0.32084375,10.83398402,194.379134961277
"split","smart",579.140625,15.257421875,97.734375,"outdoors",3.083203125,"light",17.01421875,0.32084375,10.83398402,203.215369488912
"split","smart",719.296875,6.939453125,97.734375,"outdoors",3.083203125,"light",17.01421875,0.32084375,10.83398402,198.543818858386
"split","smart",719.296875,15.257421875,131.371875,"outdoors",3.083203125,"light",17.01421875,0.32084375,10.83398402,195.036285166027
"split","smart",719.296875,15.257421875,97.734375,"outdoors",4.015546875,"light",17.01421875,0.32084375,10.83398402,192.234977349532
"split","smart",719.296875,15.257421875,97.734375,"outdoors",3.083203125,"light",20.28453125,0.32084375,10.83398402,199.431195766114
"split","smart",719.296875,15.257421875,97.734375,"outdoors",3.083203125,"light",17.01421875,0.50934375,10.83398402,192.270442242095
"split","smart",719.296875,15.257421875,97.734375,"outdoors",3.083203125,"light",17.01421875,0.32084375,20.43783105,163.642946644395
"split","smart",579.140625,6.939453125,131.371875,"outdoors",4.015546875,"light",20.28453125,0.50934375,20.43783105,182.91097157911
"split","smart",719.296875,6.939453125,131.371875,"outdoors",4.015546875,"light",20.28453125,0.50934375,20.43783105,181.155954644743
"split","smart",579.140625,15.257421875,131.371875,"outdoors",4.015546875,"light",20.28453125,0.50934375,20.43783105,171.912642645871
"split","smart",579.140625,6.939453125,97.734375,"outdoors",4.015546875,"light",20.28453125,0.50934375,20.43783105,182.909274454518
"split","smart",579.140625,6.939453125,131.371875,"outdoors",3.083203125,"light",20.28453125,0.50934375,20.43783105,191.074917144814
"split","smart",579.140625,6.939453125,131.371875,"outdoors",4.015546875,"light",17.01421875,0.50934375,20.43783105,170.609443442075
"split","smart",579.140625,6.939453125,131.371875,"outdoors",4.015546875,"light",20.28453125,0.32084375,20.43783105,181.92929159538
"split","smart",579.140625,6.939453125,131.371875,"outdoors",4.015546875,"light",20.28453125,0.50934375,10.83398402,208.597262115502
"vrf","inter",199.296875,7.457421875,284.934375,"adiabatic",4.643203125,"heavy",9.73421875,0.52884375,21.08148402,144.689779226774
"vrf","inter",1099.140625,7.457421875,284.934375,"adiabatic",4.643203125,"heavy",9.73421875,0.52884375,21.08148402,125.141772640407
"vrf","inter",199.296875,14.739453125,284.934375,"adiabatic",4.643203125,"heavy",9.73421875,0.52884375,21.08148402,135.399635898163
"vrf","inter",199.296875,7.457421875,318.571875,"adiabatic",4.643203125,"heavy",9.73421875,0.52884375,21.08148402,145.286363329052
"vrf","inter",199.296875,7.457421875,284.934375,"adiabatic",5.575546875,"heavy",9.73421875,0.52884375,21.08148402,141.714502220127
"vrf","inter",199.296875,7.457421875,284.934375,"adiabatic",4.643203125,"heavy",13.00453125,0.52884375,21.08148402,156.312816612188
"vrf","inter",199.296875,7.457421875,284.934375,"adiabatic",4.643203125,"heavy",9.73421875,0.30134375,21.08148402,143.334874509713
"vrf","inter",199.296875,7.457421875,284.934375,"adiabatic",4.643203125,"heavy",9.73421875,0.52884375,10.83398402,146.530359271736
"vrf","inter",1099.140625,14.739453125,318.571875,"adiabatic",5.575546875,"heavy",13.00453125,0.30134375,10.83398402,122.043253719621
"vrf","inter",199.296875,14.739453125,318.571875,"adiabatic",5.575546875,"heavy",13.00453125,0.30134375,10.83398402,145.390079332291
"vrf","inter",1099.140625,7.457421875,318.571875,"adiabatic",5.575546875,"heavy",13.00453125,0.30134375,10.83398402,130.062747545883
"vrf","inter",1099.140625,14.739453125,284.934375,"adiabatic",5.575546875,"heavy",13.00453125,0.30134375,10.83398402,122.119443052624
"vrf","inter",1099.140625,14.739453125,318.571875,"adiabatic",4.643203125,"heavy",13.00453125,0.30134375,10.83398402,124.371798527181
"vrf","inter",1099.140625,14.739453125,318.571875,"adiabatic",5.575546875,"heavy",9.73421875,0.30134375,10.83398402,112.155436895312
"vrf","inter",1099.140625,14.739453125,318.571875,"adiabatic",5.575546875,"heavy",13.00453125,0.52884375,10.83398402,121.797522835887
"vrf","inter",1099.140625,14.739453125,318.571875,"adiabatic",5.575546875,"heavy",13.00453125,0.30134375,21.08148402,124.27486496288
"vrf","min",979.296875,19.157421875,191.334375,"adiabatic",3.863203125,"heavy",13.37421875,0.63284375,25.59972603,144.743552745102
"vrf","min",319.140625,19.157421875,191.334375,"adiabatic",3.863203125,"heavy",13.37421875,0.63284375,25.59972603,156.78004766985
"vrf","min",979.296875,18.639453125,191.334375,"adiabatic",3.863203125,"heavy",13.37421875,0.63284375,25.59972603,144.960431097528
"vrf","min",979.296875,19.157421875,37.771875,"adiabatic",3.863203125,"heavy",13.37421875,0.63284375,25.59972603,145.841587900201
"vrf","min",979.296875,19.157421875,191.334375,"adiabatic",3.235546875,"heavy",13.37421875,0.63284375,25.59972603,151.424252665944
"vrf","min",979.296875,19.157421875,191.334375,"adiabatic",3.863203125,"heavy",23.92453125,0.63284375,25.59972603,184.486683628108
"vrf","min",979.296875,19.157421875,191.334375,"adiabatic",3.863203125,"heavy",13.37421875,0.61334375,25.59972603,144.706201693616
"vrf","min",979.296875,19.157421875,191.334375,"adiabatic",3.863203125,"heavy",13.37421875,0.63284375,15.84160959,124.345296669714
"vrf","min",319.140625,18.639453125,37.771875,"adiabatic",3.235546875,"heavy",23.92453125,0.61334375,15.84160959,176.231254532063
"vrf","min",979.296875,18.639453125,37.771875,"adiabatic",3.235546875,"heavy",23.92453125,0.61334375,15.84160959,166.221656476525
"vrf","min",319.140625,19.157421875,37.771875,"adiabatic",3.235546875,"heavy",23.92453125,0.61334375,15.84160959,176.027427208136
"vrf","min",319.140625,18.639453125,191.334375,"adiabatic",3.235546875,"heavy",23.92453125,0.61334375,15.84160959,173.890907390263
"vrf","min",319.140625,18.639453125,37.771875,"adiabatic",3.863203125,"heavy",23.92453125,0.61334375,15.84160959,172.71405776616
"vrf","min",319.140625,18.639453125,37.771875,"adiabatic",3.235546875,"heavy",13.37421875,0.61334375,15.84160959,139.203243895375
