agencia,municipio,uf,area,consumo
caixa,MANOEL URBANO,AC,200,52484
caixa,RIO CASCA,MG,202.2,58338
caixa,FORTALEZA,CE,202.9,74036
caixa,SANTO AMARO DA IMPERATRIZ,SC,205.3,44810
caixa,FORTALEZA,CE,206.9,57108
caixa,SAO FRANCISCO DE ITABAPOANA,RJ,208,67090
caixa,MOSSORO,RN,213.1,80563
caixa,CAMPINA GRANDE,PB,215.8,36171
caixa,CARUARU,PE,216.6,46835
caixa,VIANA,ES,217,60682
caixa,MATEUS LEME,MG,217,56720
caixa,RIO DE JANEIRO,RJ,219.6,113341
caixa,BRUMADINHO,MG,220.8,48114
caixa,TRAMANDAI,RS,222.5,28860
caixa,MAMANGUAPE,PB,223.5,125758
caixa,MARIA DA FE,MG,224,61713
caixa,SAO PAULO,SP,225.8,71987
caixa,DORES DO INDAIA,MG,225.9,45320
caixa,BOM JARDIM,RJ,230,57740
caixa,CONCEICAO DO MATO DENTRO,MG,230,99431
caixa,ITAGUACU,ES,233.8,75931.5
caixa,MIRACEMA,RJ,235,93389
caixa,UBERABA,MG,235.3,28005
caixa,SALTO DA DIVISA,MG,236.4,71597
caixa,PASSA QUATRO,MG,237.2,56429
caixa,PALMAS,TO,238,136664
caixa,SAO JOSE DO EGITO,PE,238,87237.5
caixa,SANTA ERNESTINA,SP,240.2,62265
caixa,FORTALEZA,CE,240.9,63468
caixa,UMUARAMA,PR,242,31492
caixa,ILHA DE ITAMARACA,PE,242.8,94821
caixa,MEDINA,MG,243,82116
caixa,VITORIA,ES,243.5,55149
caixa,SAO GONCALO DO SAPUCAI,MG,243.6,75360
caixa,NATAL,RN,248.2,76925
caixa,PITANGUI,MG,250,60600
caixa,RECIFE,PE,250,111937
caixa,PARAISOPOLIS,MG,253,57560
caixa,SALINOPOLIS,PA,253.8,131726
caixa,BANANEIRAS,PB,254,110939
caixa,MAMBORE,PR,256.1,77372
caixa,SANHARO,PE,257,66282
caixa,VICOSA,AL,260,92747
caixa,SALES OLIVEIRA,SP,260.4,81458
caixa,SAO LUIS,MA,261.1,61500
caixa,LUCELIA,SP,261.6,73353
caixa,SORRISO,MT,262,98263
caixa,SANTO AUGUSTO,RS,262.7,67155
caixa,TIMOTEO,MG,263,83560
caixa,SANANDUVA,RS,264,47472
caixa,SANTOS,SP,264.1,45174
caixa,AGUDO,RS,265.7,52490
caixa,MARIBONDO,AL,269.1,102454
caixa,BATURITE,CE,270,102208
caixa,SAO PAULO,SP,270,67487
caixa,CAMPESTRE,MG,271,64160
caixa,JAGUARIBE,CE,271.1,91200
caixa,BICAS,MG,272.5,64880
caixa,RECIFE,PE,272.5,159335
caixa,PRATA,MG,273.8,81228
caixa,CATANDUVAS,SC,274.3,31397
caixa,GOIANIA,GO,276,85171
caixa,RESTINGA SECA,RS,276.4,43370
caixa,NATAL,RN,277,68020
caixa,TURVO,SC,277.6,53601
caixa,CONCEICAO DA BARRA,ES,277.6,91560
caixa,SIDEROPOLIS,SC,279.3,73326
caixa,JUNDIAI,SP,280,38753
caixa,PILAR,AL,280.7,98605
caixa,JANUARIA,MG,280.8,106324
caixa,RECIFE,PE,284.9,67096
caixa,LAURO DE FREITAS,BA,291.7,81691
caixa,PORTO ALEGRE,RS,293.3,115300
caixa,BRASILIA,DF,293.7,204510
caixa,RIBEIRAO CLARO,PR,294.5,74660
caixa,MENDES,RJ,295,70640
caixa,BOM SUCESSO,MG,297.4,56360
caixa,SANTANA DO JACARE,MG,299,33440
caixa,POCOES,BA,300,63505
caixa,CAMPO GRANDE,MS,300,62480
caixa,DIVINOPOLIS,MG,302.2,34480
caixa,VIRGINIA,MG,302.6,41186
caixa,ESMERALDAS,MG,303,85670
caixa,CARLOS CHAGAS,MG,303.4,82600
caixa,SAO JOSE DO CALCADO,ES,303.6,49614
caixa,PRATAPOLIS,MG,304,44520
caixa,URUPES,SP,304.3,69039
caixa,FATIMA DO SUL,MS,304.4,84007
caixa,GRAVATAI,RS,304.5,46867
caixa,NATAL,RN,306,64317
caixa,CAMPINA VERDE,MG,307.6,88480
caixa,ANTONIO PRADO,RS,308.7,54060
caixa,IGARAPAVA,SP,308.9,115240
caixa,CUSTODIA,PE,309,92889
caixa,NOVA BASSANO,RS,309.6,39481
caixa,CACHOEIRAS DE MACACU,RJ,309.6,92450
caixa,VERA CRUZ,RS,310.5,53658
caixa,ITANHANDU,MG,310.8,60623
caixa,SANTO ANASTACIO,SP,311.5,94160
caixa,PIQUETE,SP,314.7,96560
caixa,MONGAGUA,SP,315,111760
caixa,JAGUARI,RS,317.4,57344
caixa,ROLANTE,RS,317.8,73573
caixa,SERAFINA CORREA,RS,318.1,70034
caixa,SANTA VITORIA DO PALMAR,RS,320,81197.5
caixa,CAMPO GRANDE,MS,322.1,179423
caixa,SENADOR POMPEU,CE,325.5,84763
caixa,CAJURU,SP,325.7,98334
caixa,CANDELARIA,RS,326.8,67952
